cluster_id,number_of_listings,median_effective_price,median_predicted_price,median_undervaluation_ratio,median_rating,most_common_neighbourhoods,median_subway_distance,median_crime_intensity
0,155,102.0,211.53015008295168,1.831723312498625,4.9,Upper East Side | Hell's Kitchen | Chelsea,0.2757014606210661,8.927314111060596
3,110,65.5,124.78865603811661,1.8271796246550651,4.91,Bedford-Stuyvesant | Bushwick | Crown Heights,0.3116352123921839,8.359017749589803
5,50,72.0,148.8133801252773,1.8353063157597163,4.92,Harlem | Washington Heights | East Harlem,0.2767724717971545,8.78948922457366
6,30,76.5,138.3187712944042,1.8578176247152571,4.92,Flatbush | East Flatbush | Prospect-Lefferts Gardens,0.2821522255656591,8.199128909837373
11,25,48.0,85.33225407057887,1.7259713006528246,4.92,East New York | Cypress Hills | Woodhaven,0.3295889701981012,7.978653729082731
1,20,82.5,158.47800131441485,1.7773017920779492,4.9350000000000005,South Slope | Park Slope | Gowanus,0.35250665438159556,7.146772179452637
10,15,75.0,166.3778242970196,1.7462678608809747,4.94,Williamsburg | Greenpoint,0.3634823120656983,7.79934339821592
17,10,46.0,99.52554294145389,2.0206721476119065,4.885,East Flatbush,1.635024996591992,7.8098914567390505
16,9,75.0,125.52222649552944,1.810648372585434,4.91,Canarsie,1.3904863318951846,7.095064377287131
12,9,75.0,145.16018990333646,1.9354691987111527,5.0,Upper West Side,0.2739572742486196,8.046229101075378
8,8,61.0,110.3832153513602,1.6827070066191794,4.91,Ditmars Steinway | Astoria,0.4626081540217253,7.561875740750121
13,8,37.5,66.28191778626388,1.9021553529445496,4.99,Morris Park | Allerton,0.3702551749492211,7.737163992338217
7,7,40.0,79.47524354949861,1.9107173443960188,4.89,Jackson Heights | East Elmhurst,0.6511103954231189,7.906178840394815
9,7,67.0,132.35968230178625,1.7388895782044274,4.92,Pelham Gardens | Baychester | Allerton,0.5144465921317519,7.405495663199472
4,6,47.5,103.50560057439509,2.092970986663314,4.9399999999999995,Sunnyside | Long Island City,0.6126137985962923,7.146212315002291
14,6,91.0,164.02702354002338,1.7402540244735958,4.96,Fort Hamilton | Bay Ridge,0.24861107485928113,7.229062340699433
2,6,109.0,198.36575646948683,1.8199628975125153,4.925,Williamsburg,0.5449193298587907,7.679005136168913
15,5,60.0,119.6652550181057,1.8850027177382425,4.89,Tompkinsville | St. George | Stapleton,0.9381462473079212,7.501634457883413
18,5,37.0,70.4177645569203,1.9733771652266996,4.9,St. Albans | Hollis,1.7161246780094963,6.706862336602747
19,5,55.0,100.6493500323769,1.9351684826546112,4.88,Sunset Park | Borough Park,0.264039643142105,7.603897968521881
20,5,74.0,123.74335917529976,1.6722075564229697,4.89,Corona | Elmhurst,0.774150627778618,8.012018239159062
21,5,75.0,146.25919430431864,1.6733916158918427,5.0,Washington Heights,0.1974048060523681,8.32263709695394
22,5,71.0,135.5403887830121,1.9090195603241145,4.98,Springfield Gardens | Jamaica,4.737738358486815,7.002155954403621
